0,15920,0
2,15655,0
7,9929,0
9,5846,0
10,6498,0
11,19342,0
13,8643,0
15,16671,0
17,7292,0
17,8096,0
17,21255,0
26,19138,0
27,9609,0
32,17485,0
35,3047,0
35,5292,0
35,14560,0
37,9875,0
37,21964,0
37,22380,0
41,11385,0
45,9546,0
50,17181,0
53,19122,0
56,16128,0
58,527,0
61,19536,0
63,19048,0
64,14741,0
66,917,0
66,5242,0
66,16814,0
67,10706,0
70,5830,0
70,21157,0
70,21173,0
73,16874,0
75,11543,0
78,1310,0
78,22551,0
86,9522,0
88,2095,0
91,18091,0
94,898,0
94,21618,0
97,8881,0
98,10712,0
104,4898,0
104,14261,0
104,16336,0
105,4562,0
105,15131,0
105,22482,0
107,14472,0
108,16894,0
110,3498,0
111,10337,0
112,8231,0
113,11429,0
114,7906,0
116,4931,0
118,15943,0
122,9181,0
123,11293,0
124,7627,0
125,1902,0
127,6118,0
127,7036,0
127,18256,0
132,2663,0
132,3365,0
132,18912,0
133,21443,0
134,12048,0
135,15198,0
137,6476,0
138,16823,0
143,18419,0
145,20283,0
149,13981,0
149,19073,0
149,22007,0
150,21269,0
156,4405,0
157,8735,0
158,8787,0
160,19996,0
165,7792,0
170,4356,0
170,6051,0
170,15160,0
171,15260,0
172,6514,0
173,7128,0
177,4050,0
178,9690,0
179,3815,0
181,10134,0
183,22416,0
185,12855,0
186,19929,0
187,942,0
188,6724,0
189,14302,0
190,3705,0
191,22673,0
193,503,0
202,6854,0
206,6130,0
206,9570,0
206,12784,0
207,6974,0
211,14349,0
216,5294,0
216,19962,0
216,21057,0
223,7675,0
224,3814,0
225,17338,0
226,4595,0
230,11035,0
231,8102,0
232,17433,0
234,21374,0
236,2690,0
238,20023,0
241,16877,0
241,17048,0
244,17084,0
245,12988,0
247,12091,0
247,13329,0
247,18310,0
248,17020,0
249,19691,0
251,950,0
252,18102,0
258,11119,0
260,4205,0
262,3393,0
262,11730,0
262,21691,0
264,16975,0
265,15560,0
267,4275,0
269,5213,0
269,12487,0
269,21368,0
273,4089,0
274,10617,0
277,18235,0
279,18147,0
281,616,0
281,10547,0
281,15871,0
282,14043,0
282,15115,0
282,17038,0
283,20787,0
284,4779,0
286,9344,0
288,16219,0
289,12059,0
290,10057,0
294,18466,0
296,7453,0
296,13214,0
296,20406,0
297,10638,0
301,3369,0
302,10311,0
305,585,0
310,6956,0
311,2973,0
314,20419,0
323,1760,0
324,19381,0
325,19329,0
326,21972,0
331,8445,0
334,14895,0
334,20542,0
335,671,0
341,1210,0
341,1306,0
341,13011,0
342,824,0
342,2046,0
342,11539,0
343,18356,0
344,21303,0
349,10168,0
350,797,0
350,10809,0
350,19448,0
351,8626,0
351,11797,0
351,13006,0
352,9847,0
356,12113,0
358,22549,0
360,22580,0
365,11766,0
368,2992,0
368,12715,0
368,14454,0
369,13376,0
369,15095,0
369,16993,0
371,7219,0
372,6977,0
372,11120,0
372,13502,0
374,6684,0
375,1829,0
375,15080,0
377,2492,0
378,2447,0
378,2623,0
378,2932,0
380,4440,0
383,8579,0
388,9069,0
390,20447,0
392,2171,0
392,7862,0
392,18329,0
395,4181,0
395,17143,0
395,22412,0
396,11222,0
